#{"t_start": 1684358533.0692818, "env_id": null}
r,l,t
12,12,2295.347048
14,14,2301.484306
15,15,2308.001451
13,13,2314.598539
12,12,2320.825426
14,14,2327.196935
26,26,2337.841812
21,21,2345.94149
12,12,2352.017018
14,14,2358.116999
17,17,2364.600112
16,16,2372.291678
18,18,2380.257599
14,14,2386.632966
18,18,2392.732329
13,13,2398.882175
12,12,2405.282092
12,12,2411.347955
15,15,2417.423763
15,15,2423.681967
29,29,2435.673389
15,15,2441.851271
12,12,2448.38081
11,11,2454.466125
17,17,2461.341096
16,16,2468.522386
13,13,2475.006049
17,17,2481.59742
17,17,2488.180067
18,18,2495.563972
10,10,2501.95083
17,17,2508.139087
13,13,2514.246505
11,11,2520.71309
59,59,2542.504031
11,11,2549.282227
16,16,2555.720122
13,13,2562.220818
17,17,2569.522469
13,13,2576.1779
10,10,2582.320082
14,14,2588.670283
16,16,2595.949572
17,17,2602.323033
19,19,2610.118918
19,19,2618.473279
15,15,2624.93615
17,17,2632.810483
15,15,2640.579953
13,13,2647.019079
15,15,2654.643003
18,18,2660.817946
14,14,2666.936625
23,23,2675.34308
15,15,2683.059274
12,12,2689.436899
16,16,2696.367766
18,18,2704.178313
17,17,2711.467381
12,12,2717.850661
18,18,2724.292056
14,14,2731.758176
14,14,2738.200336
11,11,2744.558628
19,19,2751.074351
14,14,2758.499954
15,15,2764.642045
17,17,2772.633711
16,16,2779.443507
11,11,2785.53231
14,14,2791.666237
14,14,2798.189696
18,18,2804.423343
16,16,2811.873414
15,15,2818.142811
12,12,2825.348153
16,16,2831.798734
16,16,2837.897853
17,17,2845.114722
14,14,2851.338762
18,18,2859.305228
20,20,2868.647026
13,13,2874.8971
13,13,2881.197001
13,13,2887.663066
14,14,2894.005689
16,16,2900.606288
13,13,2906.787648
11,11,2913.029481
14,14,2919.235907
13,13,2926.53758
16,16,2933.078777
21,21,2942.254066
17,17,2948.436012
18,18,2954.97925
18,18,2962.420005
14,14,2968.803425
15,15,2975.076646
14,14,2981.285431
14,14,2988.686167
12,12,2995.03531
18,18,3002.372381
14,14,3008.544528
15,15,3015.026628
15,15,3021.285714
26,26,3033.485762
14,14,3040.770987
15,15,3046.900816
19,19,3055.225908
12,12,3061.33396
11,11,3067.400989
17,17,3073.634208
19,19,3080.909092
14,14,3088.725111
13,13,3096.019632
13,13,3102.158105
19,19,3108.382416
19,19,3116.891396
11,11,3123.275152
16,16,3129.399384
16,16,3135.942123
21,21,3144.107569
17,17,3151.923611
13,13,3158.124056
13,13,3164.290178
22,22,3173.139767
14,14,3179.373416
13,13,3185.832015
19,19,3193.889654
15,15,3201.23921
14,14,3207.73875
16,16,3213.855253
12,12,3220.38166
14,14,3226.91345
14,14,3233.03917
22,22,3241.304972
15,15,3248.594971
18,18,3255.771132
11,11,3262.180637
18,18,3268.304467
21,21,3276.554746
25,25,3288.263596
13,13,3294.770757
13,13,3301.204281
19,19,3308.529086
11,11,3315.695892
21,21,3325.453162
18,18,3334.212101
14,14,3340.677587
20,20,3347.961514
22,22,3357.636595
17,17,3363.710708
14,14,3370.036704
15,15,3376.469127
15,15,3382.91004
12,12,3389.326791
14,14,3395.452146
21,21,3402.592972
16,16,3410.552353
15,15,3418.37692
19,19,3426.742848
19,19,3434.709903
15,15,3441.167378
17,17,3447.334637
14,14,3453.517266
13,13,3459.60824
21,21,3467.867769
15,15,3474.266117
12,12,3480.400394
25,25,3491.010667
17,17,3497.149326
14,14,3503.566395
12,12,3510.049964
20,20,3517.824182
19,19,3526.331808
13,13,3532.557163
18,18,3539.098645
18,18,3547.535298
16,16,3553.672523
12,12,3559.881785
