#{"t_start": 1684358533.0692818, "env_id": null}
r,l,t
11,11,9484.090726
16,16,9490.508498
20,20,9497.490955
16,16,9503.574544
22,22,9510.943307
23,23,9518.448685
37,37,9530.881518
23,23,9539.199509
24,24,9548.065097
17,17,9555.208892
20,20,9561.297151
30,30,9570.547459
16,16,9577.796678
22,22,9585.814406
16,16,9591.996876
27,27,9600.236737
15,15,9606.579926
13,13,9612.679965
27,27,9622.320613
15,15,9628.895984
16,16,9636.429289
20,20,9642.595908
15,15,9648.812226
12,12,9655.271063
10,10,9661.703099
20,20,9668.962348
25,25,9677.336599
25,25,9684.868982
22,22,9692.927789
14,14,9699.069422
14,14,9705.644847
25,25,9714.486626
20,20,9722.485423
13,13,9728.936188
19,19,9736.368781
26,26,9744.610729
21,21,9751.901865
18,18,9758.962309
27,27,9766.844038
16,16,9773.309804
24,24,9781.943663
24,24,9790.484949
18,18,9797.808301
23,23,9806.658529
26,26,9815.74984
20,20,9823.963474
16,16,9830.157988
21,21,9836.649242
16,16,9842.899753
23,23,9852.199119
20,20,9858.70769
15,15,9865.32324
26,26,9875.115565
21,21,9882.189854
18,18,9888.448828
17,17,9895.864189
16,16,9902.357978
26,26,9911.198287
20,20,9917.698738
15,15,9925.01404
18,18,9932.196938
19,19,9938.713861
20,20,9945.205527
12,12,9951.598132
17,17,9958.122095
15,15,9964.254643
20,20,9970.755941
17,17,9976.979545
18,18,9984.080124
22,22,9991.579062
21,21,10000.038243
14,14,10006.147688
31,31,10017.781833
35,35,10028.678518
10,10,10035.003503
29,29,10045.996109
21,21,10053.228796
15,15,10059.661712
11,11,10065.886256
20,20,10072.427952
53,53,10090.235846
17,17,10096.801259
28,28,10106.593924
19,19,10112.709593
13,13,10119.218923
19,19,10126.809714
17,17,10134.75362
26,26,10141.277304
16,16,10147.417552
19,19,10154.700763
22,22,10162.850145
19,19,10170.826282
28,28,10179.198749
22,22,10186.866838
13,13,10193.500628
22,22,10201.433152
28,28,10210.792276
15,15,10216.950054
13,13,10223.216612
14,14,10229.310391
15,15,10235.759806
27,27,10245.457264
19,19,10252.715501
23,23,10259.498394
15,15,10265.601485
56,56,10283.282101
15,15,10290.572529
16,16,10297.773316
16,16,10303.872815
22,22,10313.280292
11,11,10319.44704
15,15,10326.388863
22,22,10333.48339
19,19,10340.021678
19,19,10347.680363
17,17,10354.912661
32,32,10364.189833
30,30,10373.129701
15,15,10379.279173
20,20,10385.52159
17,17,10392.980602
12,12,10399.04488
14,14,10405.787148
21,21,10413.729118
16,16,10420.277735
33,33,10432.478155
30,30,10442.111688
18,18,10448.635718
11,11,10454.810212
13,13,10461.277439
29,29,10470.493685
24,24,10478.760831
22,22,10487.052554
18,18,10493.351995
27,27,10502.312112
22,22,10510.804158
23,23,10518.708977
25,25,10527.051317
17,17,10533.526356
18,18,10540.075742
19,19,10546.284241
19,19,10552.801133
19,19,10559.341753
22,22,10566.016405
20,20,10573.168865
14,14,10579.733155
22,22,10587.625374
52,52,10604.557489
26,26,10614.032983
23,23,10621.661201
17,17,10628.090684
22,22,10634.242593
20,20,10642.490212
21,21,10649.480967
24,24,10655.989659
29,29,10663.69812
19,19,10671.773146
21,21,10680.447739
32,32,10691.197415
19,19,10697.655287
12,12,10703.774902
14,14,10710.130387
21,21,10717.590958
22,22,10725.39694
21,21,10733.201807
12,12,10739.337424
22,22,10747.036816
22,22,10753.195806
18,18,10759.637629
18,18,10765.84507
20,20,10772.387262
34,34,10782.969442
14,14,10789.44584
21,21,10796.152954
23,23,10803.286026
18,18,10809.70341
15,15,10816.164508
19,19,10823.563447
46,46,10837.901688
27,27,10846.352673
19,19,10854.735541
16,16,10860.943146
26,26,10868.636554
17,17,10876.468264
14,14,10883.517753
23,23,10891.695432
29,29,10900.725377
19,19,10907.990679
22,22,10914.934501
31,31,10924.333563
34,34,10936.200647
18,18,10942.416952
19,19,10948.808505
20,20,10955.400302
20,20,10961.949737
20,20,10968.299832
30,30,10977.576478
13,13,10984.590154
24,24,10993.54021
22,22,11003.640894
11,11,11009.922735
36,36,11020.98209
13,13,11027.415114
39,39,11042.947762
21,21,11050.02239
19,19,11056.578615
25,25,11064.497048
19,19,11071.338266
24,24,11079.055098
53,53,11095.905365
25,25,11103.704941
16,16,11109.838229
38,38,11120.674012
23,23,11129.829009
24,24,11137.279145
38,38,11148.794781
38,38,11159.295341
26,26,11167.445579
20,20,11176.701017
29,29,11185.71506
26,26,11194.312592
21,21,11202.168612
19,19,11211.246471
21,21,11217.394272
26,26,11225.644237
17,17,11233.543326
26,26,11242.284403
29,29,11253.236927
13,13,11259.729948
19,19,11266.967244
21,21,11273.584928
15,15,11281.634443
16,16,11287.836829
18,18,11295.384025
35,35,11304.919286
24,24,11311.899651
21,21,11319.707923
23,23,11327.183131
26,26,11334.632798
23,23,11343.075145
16,16,11349.674427
18,18,11355.773692
24,24,11365.035395
21,21,11371.174463
18,18,11377.532631
28,28,11385.922907
20,20,11393.130682
18,18,11399.235642
28,28,11407.69838
30,30,11417.381621
20,20,11423.86449
50,50,11438.605091
22,22,11444.880631
17,17,11451.12191
55,55,11467.413192
20,20,11473.613965
20,20,11479.756678
44,44,11494.086999
24,24,11502.29587
43,43,11517.603096
23,23,11525.779152
36,36,11536.503877
20,20,11542.928154
14,14,11549.011349
23,23,11557.370327
20,20,11563.927064
25,25,11574.84438
16,16,11581.419454
28,28,11591.234647
25,25,11597.437218
17,17,11603.804386
22,22,11612.368562
23,23,11618.588509
20,20,11624.875555
19,19,11631.109462
22,22,11637.292629
21,21,11643.86719
17,17,11650.417548
22,22,11658.242522
25,25,11666.794986
50,50,11680.325033
31,31,11693.634725
30,30,11703.165671
21,21,11709.325137
22,22,11715.724564
30,30,11724.235635
18,18,11730.631813
17,17,11738.215307
27,27,11747.090726
20,20,11753.282413
24,24,11763.357003
23,23,11770.340136
19,19,11777.223114
18,18,11783.414363
19,19,11789.61466
21,21,11795.75605
19,19,11802.64235
15,15,11809.663806
22,22,11817.688759
24,24,11824.071634
21,21,11830.589223
34,34,11840.845914
23,23,11847.451706
22,22,11854.870486
42,42,11866.045752
18,18,11872.24089
18,18,11879.762484
28,28,11889.728902
29,29,11898.132443
33,33,11908.211888
27,27,11918.361275
25,25,11925.577848
64,64,11944.427782
22,22,11951.651973
22,22,11957.968803
21,21,11964.076947
23,23,11971.193289
24,24,11978.543632
30,30,11989.353665
16,16,11995.543626
19,19,12001.726445
55,55,12018.292869
21,21,12024.604039
20,20,12030.709195
34,34,12042.000257
23,23,12048.633045
31,31,12057.259081
51,51,12071.38367
14,14,12078.681514
16,16,12086.207467
25,25,12092.57221
23,23,12100.032125
34,34,12110.749439
33,33,12119.468902
25,25,12127.468816
16,16,12133.881997
62,62,12154.415061
22,22,12161.315073
43,43,12175.007599
29,29,12183.030699
64,64,12199.930357
24,24,12210.330129
33,33,12220.763205
20,20,12229.704378
61,61,12248.279468
22,22,12254.422235
18,18,12260.837643
36,36,12272.52057
47,47,12287.721246
25,25,12294.961208
18,18,12301.135734
23,23,12310.702478
61,61,12330.768779
36,36,12341.393534
20,20,12348.910231
28,28,12358.129502
33,33,12367.220586
20,20,12373.653579
22,22,12380.250868
19,19,12386.508715
18,18,12393.018285
59,59,12410.200991
25,25,12417.708688
23,23,12424.241746
18,18,12430.757718
13,13,12437.32505
49,49,12451.850226
26,26,12459.948851
19,19,12466.230783
40,40,12480.516458
19,19,12489.815605
31,31,12498.073798
24,24,12507.38225
17,17,12515.48943
35,35,12527.0898
64,64,12546.60599
19,19,12554.61416
13,13,12561.463373
18,18,12570.400421
66,66,12590.312191
22,22,12596.507611
59,59,12615.453487
20,20,12622.645274
16,16,12628.765615
19,19,12636.087258
26,26,12646.236662
13,13,12652.795983
25,25,12661.181913
17,17,12668.502646
34,34,12680.539026
44,44,12694.336286
21,21,12703.469508
36,36,12715.38562
17,17,12723.618467
16,16,12730.068628
20,20,12736.443698
35,35,12748.263195
21,21,12754.476297
18,18,12763.792715
15,15,12770.934389
14,14,12777.367264
31,31,12787.1919
17,17,12795.075435
17,17,12803.492318
36,36,12815.375198
57,57,12834.858025
22,22,12843.782482
23,23,12852.677794
19,19,12859.124682
14,14,12866.165897
11,11,12872.690129
14,14,12880.14921
46,46,12896.756154
34,34,12906.648944
11,11,12912.788745
28,28,12925.305798
35,35,12936.046877
19,19,12943.896472
14,14,12951.604875
35,35,12964.51329
58,58,12979.471187
32,32,12989.930089
31,31,13003.40399
20,20,13009.611898
38,38,13022.553081
18,18,13030.064234
22,22,13038.687082
45,45,13051.04819
15,15,13058.221959
64,64,13079.719751
36,36,13093.809075
55,55,13112.934919
59,59,13131.634437
29,29,13144.217049
15,15,13150.775744
21,21,13156.892224
23,23,13165.374844
26,26,13175.200272
41,41,13189.658262
22,22,13198.624415
26,26,13209.866346
31,31,13219.616183
28,28,13231.507728
29,29,13239.573282
33,33,13252.066286
35,35,13264.648159
20,20,13270.839209
13,13,13277.505672
39,39,13292.663573
28,28,13301.531329
34,34,13311.955064
48,48,13327.865962
19,19,13336.03024
61,61,13357.846775
16,16,13365.938305
43,43,13380.276588
20,20,13391.450295
22,22,13399.695342
39,39,13411.853537
39,39,13425.574394
24,24,13433.777583
69,69,13456.377499
15,15,13463.627063
29,29,13472.07644
73,73,13494.392829
20,20,13503.625837
31,31,13514.892133
56,56,13534.659144
67,67,13555.899377
25,25,13565.182918
27,27,13576.165414
23,23,13582.616085
61,61,13603.1911
40,40,13615.839753
36,36,13628.615323
35,35,13639.797656
41,41,13654.631028
17,17,13661.180865
87,87,13689.430718
54,54,13704.574615
37,37,13718.187437
11,11,13724.687523
49,49,13744.654339
22,22,13751.229284
46,46,13763.570677
18,18,13770.140554
18,18,13776.303682
24,24,13783.686133
26,26,13794.535839
11,11,13801.052823
34,34,13811.169022
19,19,13819.685488
57,57,13842.194152
35,35,13852.451368
33,33,13863.71029
55,55,13883.03454
14,14,13890.80136
32,32,13900.12582
62,62,13918.854509
45,45,13936.64059
25,25,13947.991413
43,43,13960.093958
17,17,13967.815209
16,16,13974.233541
16,16,13980.991402
11,11,13987.198882
29,29,13998.143098
41,41,14010.722941
43,43,14025.109056
25,25,14031.556324
24,24,14041.854927
33,33,14051.830649
51,51,14070.447416
57,57,14088.041341
26,26,14097.296597
39,39,14112.412258
15,15,14120.339871
39,39,14134.329018
31,31,14146.720288
22,22,14155.353552
39,39,14168.150155
31,31,14180.029327
48,48,14195.51918
105,105,14225.938621
45,45,14240.278656
85,85,14270.534158
122,122,14298.774488
30,30,14311.608675
18,18,14318.524159
29,29,14329.206872
53,53,14346.30669
58,58,14365.822716
33,33,14378.598686
45,45,14390.764976
91,91,14420.813873
28,28,14432.763296
70,70,14456.373985
17,17,14462.730782
27,27,14471.646171
78,78,14499.753967
68,68,14520.304312
74,74,14541.264684
60,60,14560.660555
105,105,14596.402061
36,36,14610.693399
71,71,14631.542404
70,70,14651.992392
31,31,14660.892507
43,43,14676.029384
69,69,14699.166109
75,75,14723.826893
40,40,14737.222726
10,10,14743.322718
17,17,14751.747827
20,20,14761.415167
63,63,14779.075416
76,76,14800.784021
22,22,14809.61395
42,42,14822.174741
45,45,14837.429267
60,60,14856.245977
22,22,14862.579316
23,23,14871.863232
79,79,14896.911792
96,96,14927.15519
45,45,14946.112417
50,50,14960.851007
52,52,14982.701473
82,82,15006.226003
30,30,15017.075229
71,71,15038.728006
59,59,15057.411267
17,17,15064.525076
31,31,15075.932725
93,93,15104.448713
17,17,15113.456547
49,49,15131.665253
39,39,15146.857186
56,56,15164.780892
54,54,15180.980439
66,66,15204.120801
11,11,15210.354783
26,26,15222.082093
52,52,15239.145941
32,32,15253.311554
24,24,15260.954175
39,39,15276.627206
32,32,15287.894952
38,38,15299.520293
50,50,15316.162955
9,9,15322.277791
70,70,15344.26439
55,55,15360.727203
60,60,15382.342204
38,38,15396.800724
76,76,15423.608216
27,27,15435.083682
64,64,15456.432673
62,62,15472.365828
53,53,15490.057116
66,66,15508.789997
19,19,15517.16513
65,65,15535.830554
25,25,15545.530243
37,37,15558.872417
19,19,15567.974824
35,35,15581.663141
73,73,15605.645568
61,61,15626.253709
72,72,15647.04476
91,91,15671.778853
60,60,15692.094066
71,71,15715.643487
57,57,15737.609363
65,65,15761.766912
41,41,15775.692513
40,40,15788.466447
42,42,15802.262996
13,13,15808.490693
51,51,15825.574598
53,53,15844.809366
18,18,15851.981624
34,34,15864.222857
42,42,15877.43196
73,73,15902.647359
39,39,15917.288392
81,81,15939.934107
53,53,15957.595962
69,69,15976.962359
88,88,16003.837124
17,17,16011.753766
47,47,16027.586266
16,16,16035.27773
111,111,16072.216868
31,31,16083.943121
31,31,16095.577797
74,74,16119.161973
51,51,16136.200762
78,78,16159.266759
65,65,16180.374385
40,40,16194.027763
64,64,16213.415742
12,12,16219.948082
46,46,16236.1654
69,69,16259.214546
75,75,16281.356106
59,59,16300.480874
23,23,16311.098194
31,31,16320.499826
63,63,16340.996498
47,47,16357.512402
58,58,16376.854138
39,39,16390.844206
17,17,16396.960693
34,34,16411.419123
26,26,16419.585244
72,72,16440.285681
43,43,16455.610167
42,42,16471.107766
42,42,16487.51844
26,26,16498.143116
86,86,16523.37586
17,17,16530.658869
56,56,16550.608846
19,19,16559.635274
62,62,16580.132062
41,41,16592.435877
20,20,16601.018085
40,40,16616.506783
30,30,16628.364254
43,43,16641.006642
12,12,16647.92215
47,47,16664.117121
20,20,16673.029974
100,100,16701.231679
66,66,16720.13747
16,16,16726.628842
84,84,16751.322937
23,23,16758.345154
16,16,16764.603804
65,65,16785.277237
76,76,16810.745305
32,32,16822.852313
38,38,16835.13482
23,23,16844.027223
81,81,16869.334726
59,59,16888.034797
76,76,16915.216386
42,42,16930.600199
43,43,16941.435267
61,61,16962.990208
36,36,16975.739831
36,36,16988.226277
33,33,16997.97263
55,55,17015.58054
38,38,17028.605749
13,13,17034.725092
31,31,17044.246696
14,14,17051.99729
64,64,17073.121809
75,75,17098.240745
42,42,17113.784107
53,53,17132.10567
65,65,17153.553035
17,17,17161.060945
80,80,17182.413753
63,63,17203.193636
27,27,17213.925912
41,41,17227.76831
37,37,17242.784731
40,40,17257.11986
56,56,17275.367151
53,53,17291.14186
38,38,17304.908221
86,86,17331.143005
33,33,17341.115745
83,83,17368.562811
97,97,17397.666648
77,77,17424.55564
20,20,17434.196118
83,83,17456.971971
55,55,17476.271281
68,68,17498.111567
29,29,17507.225907
36,36,17519.719573
42,42,17537.494938
43,43,17551.560645
14,14,17559.685359
63,63,17581.184774
75,75,17606.000965
10,10,17612.125569
52,52,17629.544488
13,13,17635.759216
48,48,17650.808191
22,22,17657.208221
40,40,17669.15798
35,35,17680.695015
48,48,17697.540849
37,37,17708.699351
44,44,17722.965655
34,34,17736.439572
18,18,17744.306124
47,47,17760.822129
37,37,17771.872616
28,28,17782.947179
32,32,17792.65017
71,71,17818.305275
88,88,17846.412912
19,19,17854.555025
42,42,17866.170111
44,44,17883.453141
104,104,17916.072169
25,25,17927.552421
16,16,17933.968801
33,33,17942.684964
26,26,17953.629658
13,13,17960.233494
41,41,17971.493831
36,36,17985.625803
21,21,17991.844525
63,63,18012.461837
11,11,18019.025016
69,69,18041.61994
23,23,18051.733062
55,55,18070.174279
52,52,18089.590555
30,30,18101.198447
64,64,18120.380873
89,89,18148.872412
77,77,18173.326548
44,44,18188.263793
24,24,18194.629685
47,47,18211.087966
30,30,18220.537576
30,30,18232.103301
40,40,18244.356711
38,38,18258.045415
57,57,18275.652886
27,27,18285.82784
46,46,18301.468805
66,66,18323.943895
72,72,18348.142873
56,56,18366.992573
68,68,18386.350991
65,65,18406.831528
57,57,18426.358012
105,105,18460.130887
19,19,18466.682101
87,87,18498.940089
50,50,18515.789346
13,13,18522.305209
65,65,18544.179708
46,46,18555.822123
40,40,18569.263099
29,29,18579.187522
59,59,18597.687392
68,68,18620.495858
68,68,18642.433855
20,20,18651.510904
40,40,18664.478017
65,65,18686.163213
60,60,18707.097829
59,59,18726.09232
17,17,18733.283877
56,56,18749.976048
18,18,18756.392684
52,52,18774.593326
57,57,18793.799706
39,39,18807.749112
31,31,18820.048861
30,30,18832.039333
34,34,18844.156781
27,27,18853.956787
17,17,18860.148555
13,13,18866.631411
14,14,18873.800848
48,48,18887.064109
40,40,18902.038428
51,51,18917.488125
19,19,18924.846614
31,31,18936.895701
27,27,18947.338074
76,76,18974.079033
29,29,18986.754162
40,40,18999.626186
23,23,19009.301254
33,33,19019.369074
18,18,19027.560956
68,68,19049.918239
27,27,19057.727072
52,52,19077.076225
24,24,19085.043385
27,27,19095.509722
33,33,19108.458434
79,79,19132.217254
26,26,19141.324758
57,57,19161.000336
37,37,19175.199541
80,80,19199.423673
23,23,19207.132452
57,57,19230.248683
94,94,19261.339579
99,99,19288.921643
58,58,19309.426063
69,69,19333.646564
68,68,19354.720405
17,17,19363.469737
28,28,19373.402778
37,37,19385.762439
39,39,19398.662001
32,32,19408.611438
31,31,19420.794445
31,31,19429.260267
57,57,19445.438039
119,119,19477.306147
23,23,19483.461744
44,44,19494.151335
15,15,19500.292128
58,58,19518.483418
80,80,19540.96583
22,22,19548.224944
45,45,19562.157594
64,64,19580.677108
73,73,19604.667668
13,13,19611.932013
78,78,19634.806088
42,42,19649.029935
28,28,19657.052372
80,80,19678.288231
26,26,19687.380423
24,24,19698.462805
42,42,19708.862215
17,17,19715.354348
82,82,19738.744859
26,26,19746.144526
52,52,19761.102975
40,40,19774.160322
74,74,19796.488716
51,51,19810.638827
61,61,19828.088241
76,76,19849.117588
86,86,19873.675285
15,15,19880.033548
54,54,19894.308342
70,70,19915.318611
29,29,19927.925619
73,73,19949.476758
125,125,19984.697726
45,45,19999.672835
36,36,20011.047652
30,30,20022.547193
82,82,20043.763924
36,36,20054.388253
27,27,20061.596972
94,94,20084.362366
50,50,20098.278255
64,64,20115.178261
23,23,20122.762067
62,62,20143.810946
46,46,20160.161231
75,75,20180.729072
105,105,20208.290437
38,38,20222.154124
64,64,20241.701049
71,71,20263.941873
68,68,20285.158355
32,32,20295.791561
125,125,20333.673611
68,68,20354.148207
77,77,20374.982136
47,47,20389.039715
45,45,20404.880141
98,98,20430.796827
46,46,20445.2629
24,24,20455.391951
36,36,20465.711767
38,38,20475.670824
23,23,20484.503301
33,33,20494.453227
22,22,20501.187645
84,84,20529.238595
51,51,20545.245681
29,29,20556.293417
77,77,20580.072824
121,121,20615.361815
46,46,20630.97631
83,83,20653.383256
59,59,20672.679956
76,76,20694.881971
68,68,20717.981762
46,46,20734.506958
35,35,20747.556195
19,19,20754.122732
37,37,20769.522724
76,76,20790.847111
15,15,20796.95467
70,70,20819.295726
83,83,20839.99615
52,52,20855.686995
43,43,20871.736509
22,22,20877.887834
75,75,20897.352718
100,100,20926.193881
42,42,20938.385139
29,29,20950.435577
31,31,20958.331719
23,23,20964.442697
21,21,20973.225315
88,88,20999.242683
85,85,21022.482723
19,19,21031.30706
96,96,21057.899412
61,61,21077.156995
19,19,21085.848662
44,44,21097.715143
65,65,21118.650063
30,30,21130.697657
47,47,21145.707989
38,38,21159.171251
15,15,21166.830343
30,30,21175.713351
87,87,21199.954296
37,37,21210.070517
20,20,21216.157136
29,29,21224.487089
20,20,21232.020667
56,56,21251.13702
26,26,21263.399265
58,58,21278.535507
80,80,21303.218465
17,17,21311.12629
54,54,21326.218633
22,22,21332.750555
29,29,21340.20133
31,31,21349.454572
61,61,21369.049985
78,78,21391.399545
56,56,21409.774456
33,33,21419.741318
59,59,21438.473765
52,52,21455.876488
50,50,21472.723446
55,55,21492.647046
15,15,21501.197631
76,76,21526.480569
26,26,21535.438593
38,38,21547.271853
29,29,21554.987672
44,44,21567.990033
51,51,21587.578625
40,40,21600.371024
63,63,21621.036994
118,118,21654.670466
23,23,21662.352919
44,44,21673.943108
17,17,21681.394353
32,32,21690.343434
67,67,21711.334756
71,71,21730.651555
70,70,21753.349771
64,64,21771.966735
33,33,21782.965407
21,21,21789.112091
59,59,21806.499642
21,21,21813.540494
11,11,21820.099052
17,17,21828.22349
54,54,21843.839404
53,53,21860.171994
57,57,21876.148123
49,49,21890.513587
33,33,21901.705364
52,52,21918.963115
28,28,21931.271262
29,29,21940.618268
34,34,21953.288614
26,26,21961.716153
67,67,21983.837063
40,40,21995.623239
21,21,22002.303441
30,30,22012.144229
37,37,22023.419472
60,60,22042.468956
69,69,22062.835329
37,37,22074.178285
43,43,22088.267895
55,55,22108.5582
62,62,22129.716228
35,35,22140.225204
87,87,22166.799692
59,59,22183.090213
58,58,22202.248474
68,68,22224.472735
39,39,22239.21131
33,33,22248.994091
54,54,22269.064288
52,52,22285.521923
38,38,22295.466108
60,60,22310.5706
34,34,22321.929107
20,20,22331.145979
104,104,22359.461812
19,19,22365.969872
83,83,22389.410827
92,92,22417.610401
36,36,22429.344068
28,28,22439.337559
58,58,22458.292861
78,78,22484.686329
37,37,22494.286442
61,61,22514.041878
45,45,22526.449514
71,71,22550.240834
48,48,22566.331733
48,48,22584.598146
20,20,22592.604661
17,17,22600.358295
61,61,22620.538991
38,38,22632.705569
14,14,22639.197563
11,11,22645.588851
31,31,22657.121287
39,39,22673.43783
82,82,22700.262769
74,74,22727.295904
19,19,22733.387223
59,59,22752.81974
29,29,22763.0527
71,71,22786.363186
22,22,22796.727374
45,45,22809.534779
29,29,22821.051983
73,73,22842.475294
71,71,22868.342102
58,58,22889.624989
64,64,22912.13254
87,87,22943.05723
32,32,22956.806842
32,32,22965.131687
38,38,22979.381315
58,58,22999.889757
20,20,23008.789394
46,46,23023.780254
14,14,23032.079631
34,34,23045.046363
57,57,23065.987601
65,65,23089.911754
110,110,23121.95386
23,23,23131.105972
25,25,23140.635228
67,67,23164.842935
41,41,23179.968241
56,56,23199.217482
33,33,23213.128659
38,38,23226.542346
91,91,23252.391496
52,52,23273.916512
20,20,23282.190793
40,40,23295.573819
15,15,23303.173359
48,48,23323.360438
75,75,23348.097779
58,58,23368.340829
30,30,23375.89688
38,38,23391.674445
39,39,23403.741479
100,100,23436.897845
22,22,23443.203897
42,42,23460.028393
20,20,23466.169937
64,64,23489.786001
21,21,23498.452981
41,41,23513.936183
52,52,23529.052417
24,24,23538.576987
32,32,23549.119069
28,28,23560.651829
49,49,23580.650687
29,29,23592.335065
26,26,23602.983179
38,38,23617.84162
18,18,23626.667218
72,72,23649.999607
54,54,23671.140407
34,34,23683.640863
37,37,23696.173673
36,36,23705.768503
46,46,23725.473156
39,39,23737.801289
21,21,23747.688656
41,41,23761.513775
34,34,23775.24957
44,44,23789.680024
16,16,23796.654153
88,88,23822.5211
76,76,23846.07791
47,47,23863.745162
17,17,23870.685488
19,19,23879.142729
50,50,23895.313449
55,55,23917.334602
21,21,23924.476956
30,30,23935.702385
26,26,23946.776726
72,72,23968.26821
59,59,23987.117028
58,58,24007.24215
36,36,24021.366244
76,76,24045.986194
12,12,24052.457553
20,20,24061.91517
40,40,24075.065411
33,33,24086.10901
19,19,24094.747432
21,21,24104.023318
14,14,24111.259423
14,14,24118.514554
24,24,24128.330616
45,45,24144.371739
13,13,24150.713866
104,104,24186.321299
39,39,24200.678229
57,57,24224.481223
59,59,24246.968887
55,55,24266.702546
84,84,24293.785755
36,36,24309.101975
63,63,24331.384139
27,27,24338.496454
27,27,24348.458331
31,31,24363.409165
71,71,24386.233256
36,36,24398.690777
52,52,24417.457063
30,30,24429.831552
44,44,24442.181548
66,66,24465.205737
63,63,24489.502139
30,30,24500.833627
49,49,24520.379862
20,20,24530.037953
48,48,24545.805148
15,15,24553.320761
44,44,24571.495603
38,38,24587.853891
51,51,24608.478763
19,19,24616.019308
35,35,24628.553229
31,31,24642.609366
55,55,24659.668375
33,33,24670.577157
30,30,24684.926181
46,46,24699.559464
52,52,24717.467638
40,40,24731.675639
68,68,24753.461404
30,30,24765.586317
21,21,24773.106136
64,64,24793.93705
61,61,24814.476547
22,22,24825.081321
32,32,24839.748343
41,41,24853.747907
43,43,24869.988024
18,18,24878.547261
13,13,24884.946991
42,42,24898.780523
20,20,24907.729804
60,60,24927.330443
28,28,24940.521201
46,46,24958.279024
13,13,24964.654138
28,28,24975.644868
68,68,24997.165334
60,60,25018.685993
61,61,25039.659643
13,13,25047.143846
64,64,25068.067778
28,28,25079.649777
21,21,25088.766882
23,23,25098.650733
140,140,25143.924951
63,63,25165.683175
57,57,25186.589401
35,35,25200.948342
49,49,25219.023053
37,37,25233.672664
57,57,25254.80524
64,64,25276.138058
52,52,25297.421456
22,22,25305.771245
68,68,25328.07045
47,47,25345.086479
44,44,25364.770156
71,71,25390.063738
57,57,25411.518229
59,59,25432.059652
30,30,25445.116903
95,95,25477.192323
46,46,25493.008363
26,26,25503.258164
22,22,25511.858127
101,101,25542.7599
25,25,25552.922997
44,44,25569.889244
58,58,25591.709463
27,27,25600.59534
50,50,25619.629339
63,63,25638.955597
56,56,25661.295932
33,33,25673.645056
39,39,25687.854312
41,41,25700.337283
47,47,25717.211949
64,64,25737.96914
28,28,25748.44832
33,33,25761.469393
52,52,25780.076064
37,37,25791.284521
29,29,25802.926147
61,61,25823.790123
16,16,25831.00063
29,29,25841.684381
44,44,25859.69236
25,25,25871.791088
49,49,25888.474055
55,55,25908.290624
47,47,25926.073434
21,21,25935.773306
51,51,25953.998127
55,55,25973.970555
39,39,25987.488932
16,16,25994.404907
56,56,26012.946552
19,19,26019.213208
59,59,26039.858717
40,40,26051.662556
31,31,26064.803556
80,80,26090.511424
17,17,26099.587177
52,52,26120.619325
20,20,26129.443429
40,40,26144.14314
74,74,26167.185179
42,42,26182.270355
50,50,26201.543785
14,14,26208.117323
61,61,26226.416745
45,45,26240.51171
28,28,26251.491883
42,42,26267.530207
39,39,26283.099825
57,57,26304.565261
63,63,26324.432283
23,23,26333.680778
30,30,26345.605782
60,60,26367.258489
37,37,26378.732867
26,26,26388.849298
31,31,26401.595979
61,61,26423.02023
70,70,26443.66999
59,59,26464.223374
66,66,26486.190049
49,49,26502.935604
29,29,26513.710702
56,56,26531.018376
55,55,26550.334495
49,49,26565.922685
68,68,26588.859522
60,60,26609.232945
46,46,26625.333133
50,50,26643.25757
46,46,26662.790043
27,27,26672.606785
29,29,26681.690338
67,67,26705.555927
64,64,26728.539322
13,13,26734.728139
67,67,26756.371777
21,21,26765.272056
36,36,26775.721604
13,13,26783.546218
21,21,26791.638047
60,60,26811.850833
55,55,26832.08696
138,138,26871.930772
42,42,26884.327789
20,20,26893.558112
48,48,26909.434492
22,22,26919.060417
11,11,26925.651788
10,10,26932.192998
11,11,26938.309641
47,47,26950.900636
66,66,26973.559884
75,75,26995.699798
65,65,27017.498778
39,39,27030.674103
45,45,27046.673633
23,23,27055.673167
58,58,27077.815144
32,32,27088.950636
28,28,27097.539921
47,47,27117.697192
40,40,27135.738378
36,36,27151.619502
57,57,27171.845331
20,20,27181.212612
55,55,27202.328754
57,57,27221.278574
70,70,27246.02743
55,55,27266.70974
21,21,27276.502551
17,17,27284.951568
94,94,27313.242503
17,17,27321.709685
64,64,27341.884081
40,40,27356.984437
59,59,27376.754097
34,34,27385.068025
73,73,27406.449346
43,43,27422.16564
45,45,27440.547427
65,65,27461.847395
67,67,27485.872258
44,44,27499.987498
50,50,27518.697086
61,61,27540.721393
23,23,27548.546611
63,63,27569.811599
45,45,27583.278455
71,71,27608.836651
23,23,27618.977814
73,73,27640.618402
26,26,27652.476624
15,15,27661.443392
12,12,27668.809915
69,69,27694.559203
61,61,27713.158648
60,60,27735.417265
35,35,27746.824187
59,59,27766.260729
77,77,27788.88195
57,57,27808.581084
62,62,27825.956422
63,63,27846.738937
24,24,27856.356382
45,45,27868.855559
53,53,27886.00347
67,67,27906.873517
64,64,27927.003685
53,53,27946.537294
22,22,27956.16386
47,47,27976.277606
60,60,27995.045773
